Gene_stable_ID	Gene_name	Gene_description	Gene_type	Chromosome.scaffold_name	Gene_start_.bp.	Gene_end_.bp.	Strand	Transcript_stable_ID	Transcript_start_.bp.	Transcript_end_.bp.	NCBI_gene_ID	RefSeq_ID	GO_term_name
WBGene00008168	C48B4.3	?	protein_coding	III	9580643	9582388	-	C48B4.3.1;C48B4.3.2	9581114;9580643	9582388	183565	NM_066717	?
WBGene00008169	C48B4.6	?	protein_coding	III	9557450	9558558	-	C48B4.6	9557450	9558558	183566	NM_066708	?
WBGene00008170	C48B4.7	?	protein_coding	III	9558676	9559427	-	C48B4.7	9558676	9559427	176350	NM_066709	?
WBGene00008171	C48B4.8	?	protein_coding	III	9559736	9561236	-	C48B4.8a;C48B4.8b	9559736	9561236;9561220	176351	NM_001268081	?;integral_component_of_membrane;membrane
WBGene00008172	C48B4.9	?	protein_coding	III	9562331	9563337	-	C48B4.9	9562331	9563337	183567	NM_066711	?
WBGene00008173	C48B4.10	?	protein_coding	III	9563439	9564512	-	C48B4.10	9563439	9564512	183568	NM_066712	integral_component_of_membrane;membrane
WBGene00008174	C48B4.11	?	protein_coding	III	9564603	9566064	-	C48B4.11	9564603	9566064	183569	NM_066713	?
WBGene00008177	C48D1.1	?	protein_coding	IV	13193667	13197382	-	C48D1.1a;C48D1.1b	13193667	13197382;13197275	178271	NM_001047463;NM_001047464	protein_ubiquitination;ubiquitin-protein_transferase_activity;regulation_of_ubiquitin-protein_transferase_activity;Cul2-RING_ubiquitin_ligase_complex
WBGene00008178	C48D1.5	?	protein_coding	IV	13221961	13232974	+	C48D1.5a;C48D1.5b;C48D1.5c;C48D1.5d;C48D1.5e;C48D1.5f;C48D1.5g	13221978;13222452;13221961;13229989	13232030;13232974;13232035	3564995	NR_131631;NR_131632;NM_001306942;NM_001306944;NM_001306943;NM_001306945;NR_131633	?;integral_component_of_membrane;membrane
WBGene00008183	rin-1	RIN_(Ras/Rab_INteractor)_homolog	protein_coding	V	14784152	14815600	-	C48G7.3a.1;C48G7.3a.2;C48G7.3b.1;C48G7.3b.2;C48G7.3c.1;C48G7.3c.2;C48G7.3d.1;C48G7.3d.2;C48G7.3e.1;C48G7.3e.2;C48G7.3f.1;C48G7.3f.2;C48G7.3g.1;C48G7.3g.2;C48G7.3h.1;C48G7.3h.2;C48G7.3i.1;C48G7.3i.2;C48G7.3j.1;C48G7.3j.2;C48G7.3k.1;C48G7.3k.2;C48G7.3l.1;C48G7.3l.2	14784199;14784152	14815600;14800834;14798397;14796470;14787214;14814413;14813245;14787723;14804875;14797012;14799004;14798294	3565509	NM_001129408;NM_001269690;NM_001269691;NM_001276964;NM_001276965;NM_001129409;NM_001129410;NM_001129411;NM_001129412;NM_001269692;NM_001269694;NM_001269693	cytoplasm;dorsal/ventral_axon_guidance;cell_periphery;neuron_migration;filopodium;GTPase_binding
WBGene00008191	C49A1.10	?	protein_coding	I	14241897	14244454	-	C49A1.10	14241897	14244454	183591	NM_061085	integral_component_of_membrane;membrane
WBGene00008194	C49C3.4	?	protein_coding	IV	17320795	17328663	+	C49C3.4a;C49C3.4b;C49C3.4c	17320795;17323244;17323744	17328663	178513	NM_070679;NM_001313021;NM_001307640	?
WBGene00008195	ceh-88	C._Elegans_Homeobox	protein_coding	IV	17329205	17330739	+	C49C3.5	17329205	17330739	178514	NM_070680	nucleus;DNA_binding
WBGene00008196	C49C3.6	?	protein_coding	IV	17331527	17332440	+	C49C3.6	17331527	17332440	178515	NM_070681	?
WBGene00008197	C49C3.7	?	protein_coding	IV	17332573	17333645	+	C49C3.7	17332573	17333645	178516	NM_070682	?
WBGene00008198	C49C3.8	?	protein_coding	IV	17335270	17336685	+	C49C3.8a;C49C3.8b	17335270;17335785	17336685	178517	NM_001269008;NM_001269009	?
WBGene00008199	C49C3.9	?	protein_coding	IV	17339656	17342314	-	C49C3.9	17339656	17342314	178519	NM_070687	innate_immune_response;defense_response_to_Gram-negative_bacterium
WBGene00008200	C49C3.10	?	protein_coding	IV	17336800	17338984	-	C49C3.10a;C49C3.10b	17336800	17338984;17338742	178518	NM_001269010;NM_001269011	protein_kinase_activity;ATP_binding;protein_phosphorylation;cytoplasm;nucleus;regulation_of_gene_expression;neuron_projection;neuron_development;JUN_kinase_activity;JNK_cascade;JUN_phosphorylation
WBGene00008204	C49C3.15	?	protein_coding	IV	17334193	17335089	+	C49C3.15	17334193	17335089	183600	NM_070683	?
WBGene00008205	sams-1	Probable_S-adenosylmethionine_synthase_1	protein_coding	X	11965962	11969784	+	C49F5.1.1;C49F5.1.2;C49F5.1.3	11965962	11968129;11969784;11968109	181370	?;NM_077601	ATP_binding;metal_ion_binding;cytosol;negative_regulation_of_lipid_storage;one-carbon_metabolic_process;S-adenosylmethionine_biosynthetic_process;methionine_adenosyltransferase_activity;nucleotide_binding;transferase_activity;protein_binding
WBGene00008206	set-6	SET_(trithorax/polycomb)_domain_containing	protein_coding	X	11970030	11974676	-	C49F5.2	11970030	11974676	181371	NM_077602	?
WBGene00008207	C49F5.3	?	protein_coding	X	11982791	11983899	-	C49F5.3	11982791	11983899	183612	NM_077604	integral_component_of_membrane;membrane
WBGene00008210	C49F5.6	?	protein_coding	X	11988314	11991287	+	C49F5.6	11988314	11991287	181372	NM_077606	?
WBGene00008211	C49F5.7	?	protein_coding	X	11994784	11995839	+	C49F5.7	11994784	11995839	183615	?	?
WBGene00008212	C49F5.8	?	protein_coding	X	11960145	11961509	+	C49F5.8	11960145	11961509	259728	?	?
WBGene00008214	gem-1	Gon-2_Extragenic_Modifier	protein_coding	X	13371539	13376992	-	C49F8.2	13371539	13376992	181458	NM_077824	integral_component_of_membrane;plasma_membrane;monocarboxylic_acid_transmembrane_transporter_activity;membrane;transmembrane_transport;transporter_activity;ion_transmembrane_transport
WBGene00008215	C49F8.3	?	protein_coding	X	13386059	13387547	-	C49F8.3	13386059	13387547	181459	NM_077825	?
WBGene00008216	mec-19	?	protein_coding	I	12564356	12565893	+	C49G9.1	12564356	12565893	183626	?	integral_component_of_membrane;membrane
WBGene00008218	nasp-2	NASP_(human_Nuclear_Autoantigenic_Sperm_Protein)_homolog	protein_coding	V	13310184	13312260	-	C50B6.2	13310184	13312260	179810	NM_073897	?
WBGene00008219	C50B6.3	?	protein_coding	V	13313598	13315814	+	C50B6.3a;C50B6.3b	13313598	13315814	179811	NM_001269570;NM_001269569	?
WBGene00008220	C50B6.7	Alpha-amylase	protein_coding	V	13322367	13324970	-	C50B6.7	13322367	13324970	179813	NM_073902	carbohydrate_metabolic_process;cation_binding;alpha-amylase_activity;hydrolase_activity;hydrolase_activity,_acting_on_glycosyl_bonds;metabolic_process;catalytic_activity
WBGene00008221	nhr-168	Nuclear_Hormone_Receptor_family	protein_coding	V	13331115	13333871	-	C50B6.8a;C50B6.8b.1;C50B6.8b.2	13331115	13333871;13333582	353455	NM_001269572;NM_001269571	zinc_ion_binding;transcription_factor_activity,_sequence-specific_DNA_binding;sequence-specific_DNA_binding;transcription,_DNA-templated;nucleus;steroid_hormone_receptor_activity;DNA_binding;metal_ion_binding;regulation_of_transcription,_DNA-templated;steroid_hormone_mediated_signaling_pathway
WBGene00008222	C50B6.9	?	protein_coding	V	13336367	13337907	+	C50B6.9	13336367	13337907	183636	NM_073905	hydrolase_activity
WBGene00008224	C50B8.1	?	protein_coding	V	13565863	13566958	+	C50B8.1	13565863	13566958	179840	?	nucleic_acid_binding;nucleotide_binding;RNA_binding
WBGene00008225	nuaf-1	Probable_complex_I_intermediate-associated_protein_30,_mitochondrial	protein_coding	V	13566933	13568630	-	C50B8.3	13566933	13568630	183640	NM_073960	mitochondrion
WBGene00008226	C50B8.4	?	protein_coding	V	13572086	13573421	+	C50B8.4	13572086	13573421	179842	NM_073962	integral_component_of_membrane;membrane
WBGene00008227	C50B8.5	?	protein_coding	V	13580993	13584680	+	C50B8.5	13580993	13584680	179843	NM_073963	integral_component_of_membrane;membrane
WBGene00008228	C50B8.6	?	protein_coding	V	13578970	13580811	+	C50B8.6	13578970	13580811	3565404	?	integral_component_of_membrane;membrane
WBGene00008229	C50F4.1	?	protein_coding	V	9526733	9529250	+	C50F4.1.1;C50F4.1.2	9526793;9526733	9529250	179333	NM_073054	?
WBGene00008232	C50F4.4	?	protein_coding	V	9536785	9537581	+	C50F4.4	9536785	9537581	183678	NM_073058	?
WBGene00008233	C50F4.8	?	protein_coding	V	9517241	9518875	-	C50F4.8	9517241	9518875	179332	?	defense_response_to_Gram-positive_bacterium
WBGene00008234	C50F4.9	?	protein_coding	V	9523169	9524201	-	C50F4.9	9523169	9524201	183680	NM_073053	innate_immune_response
WBGene00008236	C50F4.12	?	protein_coding	V	9537565	9539735	-	C50F4.12	9537565	9539735	179336	NM_073059	mitochondrion;regulation_of_transcription,_DNA-templated;double-stranded_DNA_binding
WBGene00008237	nstp-10	GDP-fucose_transporter	protein_coding	V	9547608	9549836	-	C50F4.14a;C50F4.14b	9547608	9549836;9549113	179342	NM_001276912;NM_073066	integral_component_of_membrane;Golgi_membrane;carbohydrate_transport;membrane;transport;Golgi_apparatus
WBGene00008238	C50F4.16	?	protein_coding	V	9539842	9541606	-	C50F4.16	9539842	9541606	179337	NM_073060	hydrolase_activity
WBGene00008239	fshr-1	FSHR_(mammalian_follicle_stimulating_hormone_receptor)_homolog	protein_coding	V	9889839	9894850	+	C50H2.1a;C50H2.1b	9889839	9894850	179381	NM_073147;NM_001276924	integral_component_of_membrane;protein-hormone_receptor_activity;membrane;G-protein_coupled_receptor_activity;G-protein_coupled_receptor_signaling_pathway;response_to_oxidative_stress;innate_immune_response;integral_component_of_plasma_membrane;stress_response_to_cadmium_ion;adenylate_cyclase-activating_G-protein_coupled_receptor_signaling_pathway;hormone-mediated_signaling_pathway;G-protein_coupled_peptide_receptor_activity;activation_of_adenylate_cyclase_activity
WBGene00008246	C50H2.13	?	protein_coding	V	9926544	9927860	+	C50H2.13	9926544	9927860	259642	NM_001028556	integral_component_of_membrane;membrane
WBGene00008248	srsx-27	Serpentine_Receptor,_class_SX	protein_coding	V	10150066	10152159	+	C51E3.2	10150066	10152159	183704	?	integral_component_of_membrane;G-protein_coupled_receptor_activity;membrane;G-protein_coupled_receptor_signaling_pathway
WBGene00008252	C51E3.6	?	protein_coding	V	10164137	10166457	-	C51E3.6	10164137	10166457	183708	NM_073212	integral_component_of_membrane;transmembrane_transport;transporter_activity;membrane;transport
WBGene00008254	C51E3.9	?	protein_coding	V	10145952	10148978	+	C51E3.9a;C51E3.9b	10145952;10146132	10148978	266923	NM_001269259;NM_001269258	cytoplasm;S-adenosylmethionine-dependent_methyltransferase_activity;methylation
WBGene00008255	C51E3.10	?	protein_coding	V	10160437	10161115	-	C51E3.10a;C51E3.10b;C51E3.10c	10160437;10160568;10160640	10161115;10160912;10161077	3564871	?	integral_component_of_membrane;membrane
WBGene00008258	mans-2	Mannosyl-oligosaccharide_1,2-alpha-mannosidase_C52E4.5	protein_coding	V	11982621	11986115	-	C52E4.5a;C52E4.5b	11982621	11985484;11986115	179642	NM_001269460;NM_001269459	integral_component_of_membrane;endoplasmic_reticulum;calcium_ion_binding;Golgi_membrane;mannosyl-oligosaccharide_1,2-alpha-mannosidase_activity;N-glycan_processing;membrane;hydrolase_activity;hydrolase_activity,_acting_on_glycosyl_bonds;metabolic_process;metal_ion_binding;protein_glycosylation
WBGene00008260	C52G5.2	?	protein_coding	X	12843314	12845384	+	C52G5.2	12843314	12845384	181420	NM_077738	?
WBGene00008262	ril-1	RNAi-Induced_Longevity	protein_coding	V	14523330	14524129	-	C53A5.1.1;C53A5.1.2	14523330	14524121;14524129	179958	NM_074197	integral_component_of_membrane;membrane
WBGene00008263	C53A5.2	?	protein_coding	V	14522728	14523177	-	C53A5.2	14522728	14523177	179957	NM_074196	?
WBGene00008265	kcnl-4	KCNN_(potassium_K_ChaNNel,_calcium_activated)-Like	protein_coding	V	14531115	14542893	+	C53A5.5a;C53A5.5b	14531115;14539923	14542893	183736	NM_001269665;NM_001269666	integral_component_of_membrane;plasma_membrane;calmodulin_binding;neuronal_cell_body;small_conductance_calcium-activated_potassium_channel_activity;membrane;potassium_ion_transport;potassium_ion_transmembrane_transport;calcium-activated_potassium_channel_activity
WBGene00008266	C53A5.6	?	protein_coding	V	14543676	14545866	-	C53A5.6a;C53A5.6b	14543676	14545821;14545866	183737	NM_001269667;NM_001269668	zinc_ion_binding;protein_ubiquitination;Cul3-RING_ubiquitin_ligase_complex;ubiquitin-protein_transferase_activity
WBGene00008270	C53A5.13	?	protein_coding	V	14546921	14554540	+	C53A5.13a;C53A5.13b	14546921;14547112	14554540	179961	NM_001269669;NM_001269670	integral_component_of_membrane;membrane
WBGene00008273	C53B4.3	?	protein_coding	IV	8970545	8973665	-	C53B4.3.1;C53B4.3.2	8970545	8973316;8973665	177714	NM_069156	integral_component_of_membrane;nucleus;transmembrane_transport;transporter_activity;membrane
WBGene00008274	C53B4.4	?	protein_coding	IV	8975532	8984569	+	C53B4.4a;C53B4.4b;C53B4.4d;C53B4.4e;C53B4.4f;C53B4.4g	8975532	8984560;8984569	177716	NM_069158;NM_069157;NM_001027922;NM_001129292;NM_001307127;NM_001307128	metal_ion_binding;intracellular_signal_transduction;intracellular
WBGene00008275	nstp-1	Nucleotide_Sugar_TransPorter_family	protein_coding	IV	8984866	8986776	+	C53B4.6a;C53B4.6b	8984866;8984912	8986776	183743	NM_069161	carbohydrate_transport;integral_component_of_endoplasmic_reticulum_membrane;UDP-N-acetylglucosamine_transmembrane_transport;UDP-N-acetylglucosamine_transmembrane_transporter_activity;integral_component_of_Golgi_membrane;GDP-fucose_transmembrane_transporter_activity;UDP-xylose_transmembrane_transporter_activity;GDP-fucose_transport;membrane;integral_component_of_membrane;transport;transmembrane_transport;UDP-xylose_transport
WBGene00008277	mltn-12	MLt-TeN_(mlt-10)_related	protein_coding	IV	8993086	9000773	+	C53B4.8	8993086	9000773	177718	NM_001047465	?
WBGene00008281	C53D6.4	?	protein_coding	IV	9019175	9020935	-	C53D6.4a;C53D6.4b	9019175	9020935;9020489	183759	NM_069167;NM_001307135	cell;cell_redox_homeostasis;integral_component_of_membrane;membrane
WBGene00008283	C53D6.6	?	protein_coding	IV	9027680	9032651	-	C53D6.6.1;C53D6.6.2	9027680	9032651;9031663	177720	NM_069169	transcription_factor_activity,_sequence-specific_DNA_binding;nucleus;RNA_polymerase_II_regulatory_region_sequence-specific_DNA_binding;regulation_of_transcription_from_RNA_polymerase_II_promoter;nucleic_acid_binding;protein_dimerization_activity
WBGene00008284	C53D6.7	Galectin	protein_coding	IV	9034843	9037162	-	C53D6.7	9034843	9037162	183761	NM_069170	carbohydrate_binding
WBGene00008285	C53D6.8	?	protein_coding	IV	9001145	9002734	-	C53D6.8	9001145	9002734	3564864	NM_001027926	?
WBGene00008288	C54C6.6	Cilia-_and_flagella-associated_protein_20	protein_coding	III	3534651	3537496	-	C54C6.6	3534651	3537496	353416	NM_181977	nucleus;microtubule;cilium;ciliary_basal_body;centriole;regulation_of_cilium_beat_frequency_involved_in_ciliary_motility;positive_regulation_of_cell_motility;positive_regulation_of_feeding_behavior;cytoplasm;cell_projection;cytoskeleton
WBGene00008295	nlp-39	Neuropeptide-Like_Protein	protein_coding	I	12461645	12462097	+	C54C8.9	12461645	12462097	183774	?	neuropeptide_signaling_pathway
WBGene00008296	cdr-2	CaDmium_Responsive	protein_coding	V	12414622	12415711	-	C54D10.1	12414622	12415711	183779	NM_073713	integral_component_of_membrane;stress_response_to_cadmium_ion;membrane;regulation_of_protein_deneddylation
WBGene00008298	C54D10.3	?	protein_coding	V	12418592	12419425	+	C54D10.3	12418592	12419425	179704	NM_073715	?
WBGene00008301	dct-3	DAF-16/FOXO_Controlled,_germline_Tumor_affecting	protein_coding	V	12441665	12443835	-	C54D10.7	12441665	12443835	183784	NM_001269488	?
WBGene00008304	C54D10.10	?	protein_coding	V	12448681	12450004	-	C54D10.10	12448681	12450004	183787	NM_073722	serine-type_endopeptidase_inhibitor_activity;negative_regulation_of_endopeptidase_activity
WBGene00008309	nhr-170	Nuclear_Hormone_Receptor_family	protein_coding	V	18796071	18800822	-	C54E10.5	18796071	18800822	183795	NM_075272	zinc_ion_binding;transcription_factor_activity,_sequence-specific_DNA_binding;sequence-specific_DNA_binding;transcription,_DNA-templated;nucleus;steroid_hormone_mediated_signaling_pathway;metal_ion_binding;regulation_of_transcription,_DNA-templated;DNA_binding
WBGene00008310	C54E10.6	?	protein_coding	V	18808080	18808661	-	C54E10.6	18808080	18808661	180228	NM_075274	?
WBGene00008311	rskn-2	Putative_ribosomal_protein_S6_kinase_alpha-2	protein_coding	I	8014443	8019592	+	C54G4.1a;C54G4.1b	8014443;8018145	8019592	172581	NM_001047180	ATP_binding;cytoplasm;nucleus;magnesium_ion_binding;positive_regulation_of_transcription_from_RNA_polymerase_II_promoter;intracellular_signal_transduction;histone_H3-S10_phosphorylation;histone_kinase_activity_(H3-S10_specific);histone_H3-S28_phosphorylation;protein_kinase_activity;protein_phosphorylation;kinase_activity;phosphorylation;nucleotide_binding;transferase_activity;protein_serine/threonine_kinase_activity
WBGene00008314	C54G4.4	?	protein_coding	I	7996728	8003179	-	C54G4.4	7996728	8003179	172579	NM_059800	?
WBGene00008315	C54G4.5	?	protein_coding	I	7995757	7996669	+	C54G4.5	7995757	7996669	172578	NM_059799	integral_component_of_membrane;membrane
WBGene00008316	dod-18	Downstream_Of_DAF-16_(regulated_by_DAF-16)	protein_coding	I	8019579	8020903	-	C54G4.6	8019579	8020903	183813	NM_059804	cytoplasm;nucleoside-triphosphate_diphosphatase_activity
WBGene00008317	C54G4.7	?	protein_coding	I	8019501	8022715	+	C54G4.7.1;C54G4.7.2;C54G4.7.3	8019501;8019710;8019712	8022715	3565589	?;NM_059805	?
WBGene00008318	C54G4.9	?	protein_coding	I	8024880	8026525	-	C54G4.9	8024880	8026525	172583	NM_059807	?
WBGene00008320	C54G10.4	?	protein_coding	V	14653445	14658174	-	C54G10.4a;C54G10.4b.1;C54G10.4b.2;C54G10.4c	14654769;14653683;14653445;14653812	14658174	179969	NM_074220;NM_182334;NM_001307806	integral_component_of_membrane;transport;membrane;translation;structural_constituent_of_ribosome;amino_acid_transmembrane_transporter_activity;mitochondrial_inner_membrane;mitochondrial_transport;acyl_carnitine_transmembrane_transporter_activity;amino_acid_transmembrane_transport;amino_acid_transport;acyl_carnitine_transmembrane_transport
WBGene00008323	C55A1.6	?	protein_coding	V	15648069	15648804	+	C55A1.6	15648069	15648804	183827	NM_074492	?
WBGene00008330	C55A6.1	?	protein_coding	V	11503825	11504873	-	C55A6.1.1;C55A6.1.2	11503825	11504741;11504873	179580	NM_073516	zinc_ion_binding
WBGene00008331	ttll-5	Tubulin_Tyrosine_Ligase_Like	protein_coding	V	11509136	11512321	+	C55A6.2a;C55A6.2b	11509225;11509136	11512321	179582	NM_001269403;NM_001269402	ligase_activity;cellular_protein_modification_process
WBGene00008332	C55A6.3	?	protein_coding	V	11512307	11513421	-	C55A6.3	11512307	11513421	183832	NM_073518	?
WBGene00008333	C55A6.4	?	protein_coding	V	11516444	11517885	-	C55A6.4	11516444	11517885	183833	?	?
WBGene00008334	sdz-8	SKN-1_Dependent_Zygotic_transcript	protein_coding	V	11515086	11516178	-	C55A6.5	11515086	11516178	183834	NM_073520	?
WBGene00008335	C55A6.6	?	protein_coding	V	11513705	11514737	-	C55A6.6	11513705	11514737	183835	NM_073519	?
WBGene00008336	C55A6.7	?	protein_coding	V	11519335	11520484	-	C55A6.7	11519335	11520484	183836	NM_073523	innate_immune_response;defense_response_to_Gram-negative_bacterium
WBGene00008338	pafo-1	RNA_polymerase_II-associated_factor_1_homolog	protein_coding	V	11521682	11523424	+	C55A6.9	11521682	11523424	179583	NM_073524	regulation_of_transcription,_DNA-templated;transcription_elongation_from_RNA_polymerase_II_promoter;Cdc73/Paf1_complex;histone_modification;nucleus;transcription,_DNA-templated
WBGene00008339	C55A6.10	?	protein_coding	V	11505354	11508464	+	C55A6.10a;C55A6.10b	11505354;11506894	11508464	179581	NM_001269400;NM_001269401	cytoplasm;striated_muscle_dense_body
WBGene00008341	ttr-44	TransThyretin-Related_family_domain	protein_coding	V	13529562	13530744	-	C56A3.2a;C56A3.2b	13529562	13530744	179835	NM_001269585	extracellular_space
WBGene00008343	C56A3.4	?	protein_coding	V	13550518	13551774	-	C56A3.4a;C56A3.4b	13550518;13550523	13551774;13551221	179836	NM_073953	integral_component_of_membrane;zinc_ion_binding;membrane
WBGene00008344	C56A3.5	?	protein_coding	V	13551911	13553592	+	C56A3.5	13551911	13553592	183857	NM_073954	?
WBGene00008345	C56A3.6	?	protein_coding	V	13553371	13556408	-	C56A3.6a.1;C56A3.6a.2;C56A3.6b;C56A3.6c;C56A3.6d.1;C56A3.6d.2	13553371	13556391;13556408	179837	NM_001269593;NM_001269590;NM_001269591;NM_001269592	calcium_ion_binding
WBGene00008346	C56A3.8	?	protein_coding	V	13560494	13561990	+	C56A3.8a;C56A3.8b;C56A3.8c	13560494	13561990;13561958;13561885	179839	NM_073957;NR_023972;NM_001269598	kinase_activity;plasma_membrane;endosome;trans-Golgi_network;lysosomal_membrane;phosphatidylinositol_phosphorylation;Golgi_organization;1-phosphatidylinositol_4-kinase_activity;endosome_organization;phosphorylation
WBGene00008348	C56G7.3	ELMO_domain-containing_protein_C56G7.3	protein_coding	III	3389921	3392524	+	C56G7.3a;C56G7.3b;C56G7.3c	3389921;3390654;3392132	3392524	175439	NM_001312935;NM_065298	GTPase_activator_activity;positive_regulation_of_GTPase_activity
WBGene00008352	fbxa-6	F-box_A_protein	protein_coding	III	1271	2948	-	cTel54X.1	1271	2948	183881	NM_064723	?
WBGene00008353	D1025.1	?	protein_coding	X	14520763	14522700	+	D1025.1	14520763	14522700	181547	NM_078014	?
WBGene00008354	gcsh-1	Glycine_Cleavage_System_H_protein	protein_coding	X	14514116	14515081	-	D1025.2	14514116	14515081	183902	NM_078013	glycine_decarboxylation_via_glycine_cleavage_system;glycine_cleavage_complex;mitochondrion
WBGene00008355	fbxa-141	F-box_A_protein	protein_coding	X	14511248	14514097	-	D1025.3	14511248	14514097	183903	NM_078012	?
WBGene00008356	nspc-20	Nematode_Specific_Peptide_family,_group_C	protein_coding	X	14529785	14530209	-	D1025.4	14529785	14530209	181549	NM_078016	?
WBGene00008361	D1043.1	?	protein_coding	II	11582849	11588534	+	D1043.1	11582849	11588534	174777	NM_064076	integrator_complex;snRNA_processing;snRNA_3'-end_processing
WBGene00008362	cfim-2	Cleavage_Factor_IM_(CFIm)_homolog	protein_coding	IV	8926335	8930315	+	D1046.1a.1;D1046.1a.2;D1046.1a.3;D1046.1b.1;D1046.1b.2;D1046.1b.3;D1046.1c.1;D1046.1c.2;D1046.1c.3;D1046.1e.1;D1046.1e.2;D1046.1e.3;D1046.1e.4;D1046.1e.5;D1046.1e.6	8926335;8926340;8927026;8927056;8926341;8926859	8930275;8930315;8929349	177710	NM_001268426;NM_001268424;NM_001268425;NM_001276831	nucleotide_binding;nucleic_acid_binding
WBGene00008363	D1046.2	?	protein_coding	IV	8924160	8926112	-	D1046.2.1;D1046.2.2	8924160	8926067;8926112	183908	NM_069149	nucleic_acid_binding
WBGene00008364	D1046.3	?	protein_coding	IV	8930442	8932693	+	D1046.3	8930442	8932693	177711	?	integral_component_of_membrane;transport;translation;structural_constituent_of_ribosome;membrane;mitochondrial_inner_membrane;mitochondrial_transport;S-adenosyl-L-methionine_transmembrane_transporter_activity;S-adenosyl-L-methionine_transmembrane_transport
WBGene00008365	D1046.4	?	protein_coding	IV	8933997	8937400	+	D1046.4	8933997	8937400	183909	NM_069152	integral_component_of_membrane;transmembrane_transport;transmembrane_transporter_activity;anion_transport;membrane
WBGene00008366	tpra-1	Transmembrane_protein_adipocyte-associated_1_homolog	protein_coding	IV	8956489	8965522	+	D1046.5a;D1046.5b	8956489;8964857	8965522;8965521	259586	NM_001268428	integral_component_of_membrane;membrane
WBGene00008368	D1053.3	?	protein_coding	X	11729569	11733695	-	D1053.3	11729569	11733695	183913	NM_077563	?
WBGene00008369	D1053.4	?	protein_coding	X	11721725	11723771	-	D1053.4	11721725	11723771	3565729	?	integral_component_of_membrane;transmembrane_receptor_protein_serine/threonine_kinase_activity;membrane
WBGene00008370	D1054.1	?	protein_coding	V	10768445	10770008	-	D1054.1	10768445	10770008	179492	NM_073348	lipid_metabolic_process;hydrolase_activity;membrane;cytoplasm;metabolic_process;lipid_catabolic_process;lipid_particle;triglyceride_lipase_activity;triglyceride_catabolic_process;lipid_homeostasis;retinyl-palmitate_esterase_activity;retinol_metabolic_process
WBGene00008371	D1054.3	?	protein_coding	V	10771451	10772832	+	D1054.3a;D1054.3b	10771451;10771551	10772832	179494	NM_073350	?
WBGene00008372	D1054.5	?	protein_coding	V	10772810	10776578	-	D1054.5	10772810	10776578	183914	NM_073351	?
WBGene00008375	D1054.8	?	protein_coding	V	10784273	10785369	+	D1054.8	10784273	10785369	183917	NM_073354	oxidoreductase_activity;oxidation-reduction_process
WBGene00008377	D1054.10	?	protein_coding	V	10791975	10792830	-	D1054.10	10791975	10792830	179496	NM_073357	?
WBGene00008378	D1054.11	?	protein_coding	V	10793795	10794924	+	D1054.11	10793795	10794924	179497	NM_073358	?
WBGene00008379	secs-1	O-phosphoseryl-tRNA(Sec)_selenium_transferase	protein_coding	V	10802450	10804474	-	D1054.13a;D1054.13b	10802450	10804229;10804474	179498	NM_073360;NM_001136415	cytoplasm;identical_protein_binding;translation;tRNA_binding;selenocysteinyl-tRNA(Sec)_biosynthetic_process;transferase_activity,_transferring_selenium-containing_groups;transferase_activity;catalytic_activity;protein_binding;RNA_binding
WBGene00008380	prp-38	yeast_PRP_(splicing_factor)_related	protein_coding	V	10804726	10806034	-	D1054.14	10804726	10806034	179499	NM_073361	precatalytic_spliceosome
WBGene00008384	D1081.6	?	protein_coding	I	8482759	8485694	-	D1081.6a;D1081.6b	8484595;8482759	8485694	183930	NM_059899;NM_001136289	?;cell_surface
WBGene00008385	D1081.7	?	protein_coding	I	8487620	8490938	+	D1081.7	8487620	8490938	172638	NM_001128966	?
WBGene00008386	cdc-5L	Cell_Division_Cycle_related	protein_coding	I	8491291	8495838	+	D1081.8	8491291	8495838	172639	NM_059902	DNA_binding;cell_division;cell_differentiation;RNA_polymerase_II_transcription_factor_activity,_sequence-specific_DNA_binding;nucleus;regulation_of_transcription_from_RNA_polymerase_II_promoter;sequence-specific_DNA_binding;transcription_regulatory_region_DNA_binding;transcription_factor_activity,_RNA_polymerase_II_transcription_factor_recruiting
WBGene00008387	D1081.9	?	protein_coding	I	8485810	8487043	-	D1081.9	8485810	8487043	172637	NM_059900	zinc_ion_binding;SUMO_transferase_activity;synapsis;protein_sumoylation;synaptonemal_complex
WBGene00008388	D1086.1	?	protein_coding	V	14098847	14100477	+	D1086.1	14098847	14100477	179909	?	?
WBGene00008390	D1086.3	?	protein_coding	V	14092863	14093986	+	D1086.3	14092863	14093986	179907	NM_074095	?
WBGene00008393	D1086.6	?	protein_coding	V	14079801	14081766	+	D1086.6	14079801	14081766	179904	NM_074091	?
WBGene00008394	D1086.7	?	protein_coding	V	14084270	14085498	+	D1086.7	14084270	14085498	183934	NM_074092	integral_component_of_membrane;membrane
WBGene00008395	D1086.8	?	protein_coding	V	14094168	14097088	+	D1086.8a;D1086.8b	14094168;14095869	14097088;14096977	179908	NM_001269628;NM_001269629	?
WBGene00008396	D1086.9	?	protein_coding	V	14104270	14106481	+	D1086.9	14104270	14106481	179910	NM_001028583	rRNA_processing;preribosome,_large_subunit_precursor;ribosomal_large_subunit_assembly
